Country,Name,Age,PlayingRole,BattingStyle,BowlingStyle,Matches,Innings,Notout,Runs,HighestScore,BattingAvg,BallsFaced,StrikeRate,Hundreds,Fiftys,Fours,Sixs,Matches,Innings,BallsBowled,Runs,Wickets,BBI,BBW,BowlingAvg,Economy,StrikeRate
Australia,Ashton Agar,25,Bowler,Left-hand bat,Slow left-arm orthodox,15,7,1,82,29,13.66,79,103.79,0,0,6,3,15,15,264,329,10,3/27,3/27,32.90,7.47,26.4
Australia,Jason Behrendorff,28,Bowler,Right-hand bat,Left-arm fast-medium,5,-,-,-,-,-,-,-,-,-,-,-,5,4,60,84,5,4/21,4/21,16.80,8.40,12.0
Australia,Alex Carey,27,Wicketkeeper batsman,Left-hand bat,_,19,13,4,125,37*,13.88,101,123.76,0,0,10,4,19,-,-,-,-,-,-,-,-,-
Australia,Daniel Christian,35,Allrounder,Right-hand bat,Right-arm fast-medium,16,7,3,27,9,6.75,28,96.42,0,0,2,0,16,16,213,317,11,3/27,3/27,28.81,8.92,19.3
Australia,Nathan Coulter-Nile,31,Bowler,Right-hand bat,Right-arm fast,26,14,4,146,34,14.60,112,130.35,0,0,10,10,26,25,540,743,30,4/31,4/31,24.76,8.25,18.0
Australia,Pat Cummins,25,Bowler,Right-hand bat,Right-arm fast,18,10,3,28,13,4.00,34,82.35,0,0,1,1,18,18,414,472,23,3/15,3/15,20.52,6.84,18.0
Australia,Ben Dunk,31,Wicketkeeper batsman,Left-hand bat,Right-arm offbreak,5,5,0,99,32,19.80,69,143.47,0,0,8,6,5,-,-,-,-,-,-,-,-,-
Australia,James Faulkner,28,Bowling allrounder,Right-hand bat,Left-arm fast-medium,24,18,7,159,41*,14.45,138,115.21,0,0,7,5,24,24,515,684,36,5/27,5/27,19.00,7.96,14.3
Australia,Aaron Finch,32,Top-order batsman,Right-hand bat,Slow left-arm orthodox,50,50,7,1663,172,38.67,1064,156.29,2,9,160,79,50,2,12,27,0,-,-,-,13.50,-
Australia,Travis Head,24,Middle-order batsman,Left-hand bat,Right-arm offbreak,16,15,3,319,48*,26.58,245,130.20,0,0,19,10,16,3,24,39,1,1/16,1/16,39.00,9.75,24.0
Australia,Moises Henriques,31,Allrounder,Right-hand bat,Right-arm fast-medium,11,8,3,159,62*,31.80,122,130.32,0,2,8,7,11,7,102,158,4,2/35,2/35,39.50,9.29,25.5
Australia,Michael Klinger,38,Batsman,Right-hand bat,_,3,3,0,143,62,47.66,112,127.67,0,1,12,2,3,-,-,-,-,-,-,-,-,-
Australia,Chris Lynn,28,Batsman,Right-hand bat,Slow left-arm orthodox,18,16,1,291,44,19.40,221,131.67,0,0,28,14,18,-,-,-,-,-,-,-,-,-
Australia,Nathan Lyon,31,Bowler,Right-hand bat,Right-arm offbreak,2,1,1,4,4*,-,4,100.00,0,0,0,0,2,2,30,48,1,1/33,1/33,48.00,9.60,30.0
Australia,Ben McDermott,23,Wicketkeeper batsman,Right-hand bat,Right-arm medium,8,8,3,72,32*,14.40,76,94.73,0,0,5,2,8,-,-,-,-,-,-,-,-,-
Australia,Nic Maddinson,26,Opening batsman,Left-hand bat,Slow left-arm orthodox,6,4,0,45,34,11.25,35,128.57,0,0,6,1,6,-,-,-,-,-,-,-,-,-
Australia,Mitchell Marsh,27,Allrounder,Right-hand bat,Right-arm medium,11,11,3,175,36,21.87,151,115.89,0,0,7,9,11,9,114,156,6,2/6,2/6,26.00,8.21,19.0
Australia,Glenn Maxwell,30,Batting allrounder,Right-hand bat,Right-arm offbreak,57,51,8,1345,145*,31.27,859,156.57,2,5,113,67,57,40,564,704,26,3/10,3/10,27.07,7.48,21.6
Australia,Tim Paine,33,Wicketkeeper batsman,Right-hand bat,Right-arm medium,12,9,1,82,25,10.25,77,106.49,0,0,7,3,12,-,-,-,-,-,-,-,-,-
Australia,Jhye Richardson,22,Bowler,Right-hand bat,Right-arm fast,7,2,1,6,6*,6.00,3,200.00,0,0,1,0,7,7,156,211,9,2/32,2/32,23.44,8.11,17.3
Australia,Kane Richardson,27,Bowler,Right-hand bat,Right-arm fast-medium,9,2,0,9,9,4.50,8,112.50,0,0,0,0,9,9,204,299,9,3/33,3/33,33.22,8.79,22.6
Australia,D'Arcy Short,28,Opening batsman,Left-hand bat,Slow left-arm chinaman,18,18,2,515,76,32.18,425,121.17,0,4,55,15,18,7,84,112,2,1/13,1/13,56.00,8.00,42.0
Australia,Billy Stanlake,24,Bowler,Left-hand bat,Right-arm fast,17,2,1,9,7,9.00,12,75.00,0,0,0,1,17,17,372,502,25,4/8,4/8,20.08,8.09,14.8
Australia,Mitchell Starc,28,Bowler,Left-hand bat,Left-arm fast,23,6,2,12,4,3.00,18,66.66,0,0,0,0,23,23,525,592,31,3/11,3/11,19.09,6.76,16.9
Australia,Marcus Stoinis,29,Middle-order batsman,Right-hand bat,Right-arm medium,17,12,5,128,33*,18.28,101,126.73,0,0,13,2,17,15,230,319,9,2/27,2/27,35.44,8.32,25.5
Australia,Mitchell Swepson,25,Bowler,Right-hand bat,Legbreak,1,1,1,3,3*,-,4,75.00,0,0,0,0,1,1,24,37,2,2/37,2/37,18.50,9.25,12.0
Australia,Andrew Tye,31,Bowler,Right-hand bat,Right-arm medium-fast,26,11,5,61,20,10.16,55,110.90,0,0,4,3,26,25,551,815,37,4/23,4/23,22.02,8.87,14.8
Australia,David Warner,32,Opening batsman,Left-hand bat,Legbreak,70,70,3,1792,90*,26.74,1279,140.10,0,13,172,79,70,-,-,-,-,-,-,-,-,-
Australia,Jack Wildermuth,25,Allrounder,Right-hand bat,Right-arm medium-fast,2,1,1,1,1*,-,1,100.00,0,0,0,0,2,2,18,32,1,1/16,1/16,32.00,10.66,18.0
Australia,Adam Zampa,26,Bowler,Right-hand bat,Legbreak googly,20,6,4,23,9,11.50,26,88.46,0,0,2,0,20,19,402,402,22,3/16,3/16,18.27,6.00,18.2
England,Moeen Ali,31,Batting allrounder,Left-hand bat,Right-arm offbreak,25,22,6,235,72*,14.68,198,118.68,0,1,21,9,25,22,362,519,15,2/21,2/21,34.60,8.60,24.1
England,Jonny Bairstow,29,Middle-order batsman,Right-hand bat,Right-arm medium,27,22,6,396,60*,24.75,315,125.71,0,2,33,15,27,-,-,-,-,-,-,-,-,-
England,Jake Ball,27,Bowler,Right-hand bat,Right-arm fast-medium,2,-,-,-,-,-,-,-,-,-,-,-,2,2,42,83,2,1/39,1/39,41.50,11.85,21.0
England,Sam Billings,27,Wicketkeeper batsman,Right-hand bat,_,18,16,0,209,53,13.06,158,132.27,0,1,19,8,18,-,-,-,-,-,-,-,-,-
England,Ravi Bopara,33,Middle-order batsman,Right-hand bat,Right-arm medium,38,35,10,711,65*,28.44,599,118.69,0,3,54,17,38,21,322,387,16,4/10,4/10,24.18,7.21,20.1
England,Jos Buttler,28,Wicketkeeper batsman,Right-hand bat,_,66,58,11,1260,73*,26.80,912,138.15,0,7,102,53,66,-,-,-,-,-,-,-,-,-
England,Mason Crane,21,Bowler,Right-hand bat,Legbreak,2,-,-,-,-,-,-,-,-,-,-,-,2,2,48,62,1,1/38,1/38,62.00,7.75,48.0
England,Tom Curran,23,Bowling allrounder,Right-hand bat,Right-arm fast-medium,7,3,2,8,6,8.00,6,133.33,0,0,0,1,7,7,150,235,7,3/33,3/33,33.57,9.40,21.4
England,Liam Dawson,28,Bowler,Right-hand bat,Slow left-arm orthodox,6,2,1,17,10,17.00,8,212.50,0,0,2,1,6,6,120,152,5,3/27,3/27,30.40,7.60,24.0
England,Joe Denly,32,Opening batsman,Right-hand bat,Legbreak,6,6,0,40,20,6.66,46,86.95,0,0,5,0,6,2,30,28,5,4/19,4/19,5.60,5.60,6.0
England,Steven Finn,29,Bowler,Right-hand bat,Right-arm fast-medium,21,3,3,14,8*,-,19,73.68,0,0,1,0,21,21,480,583,27,3/16,3/16,21.59,7.28,17.7
England,Harry Gurney,32,Bowler,Right-hand bat,Left-arm fast-medium,2,-,-,-,-,-,-,-,-,-,-,-,2,2,48,55,3,2/26,2/26,18.33,6.87,16.0
England,Alex Hales,29,Opening batsman,Right-hand bat,Right-arm medium,57,57,7,1605,116*,32.10,1178,136.24,1,8,171,52,57,-,-,-,-,-,-,-,-,-
England,Chris Jordan,30,Bowler,Right-hand bat,Right-arm fast-medium,35,23,10,168,27*,12.92,144,116.66,0,0,12,7,35,35,766,1120,40,4/28,4/28,28.00,8.77,19.1
England,Liam Livingstone,25,_,Right-hand bat,Legbreak,2,2,0,16,16,8.00,19,84.21,0,0,1,0,2,-,-,-,-,-,-,-,-,-
England,Dawid Malan,31,Top-order batsman,Left-hand bat,Legbreak,5,5,0,250,78,50.00,166,150.60,0,4,26,11,5,1,12,27,1,1/27,1/27,27.00,13.50,12.0
England,Tymal Mills,26,Bowler,Right-hand bat,Left-arm fast,5,1,0,0,0,0.00,2,0.00,0,0,0,0,5,5,114,129,3,1/27,1/27,43.00,6.78,38.0
England,Eoin Morgan,32,Middle-order batsman,Left-hand bat,Right-arm medium,77,75,14,1734,85*,28.42,1320,131.36,0,9,129,77,77,-,-,-,-,-,-,-,-,-
England,Stephen Parry,32,Bowler,Right-hand bat,Slow left-arm orthodox,5,1,0,1,1,1.00,1,100.00,0,0,0,0,5,5,96,138,3,2/33,2/33,46.00,8.62,32.0
England,Liam Plunkett,33,Bowler,Right-hand bat,Right-arm fast,20,11,4,42,18,6.00,34,123.52,0,0,3,1,20,20,435,575,23,3/21,3/21,25.00,7.93,18.9
England,Adil Rashid,30,Bowler,Right-hand bat,Legbreak,33,14,8,47,9*,7.83,55,85.45,0,0,4,0,33,31,654,818,31,3/11,3/11,26.38,7.50,21.0
England,Joe Root,27,Top-order batsman,Right-hand bat,Right-arm offbreak,28,26,4,787,90*,35.77,612,128.59,0,4,80,16,28,9,84,139,6,2/9,2/9,23.16,9.92,14.0
England,Jason Roy,28,Middle-order batsman,Right-hand bat,_,32,32,0,743,78,23.21,512,145.11,0,4,75,35,32,-,-,-,-,-,-,-,-,-
England,Ben Stokes,27,Allrounder,Left-hand bat,Right-arm fast-medium,23,20,5,232,38,15.46,178,130.33,0,0,20,9,23,18,334,496,10,3/26,3/26,49.60,8.91,33.4
England,Reece Topley,24,Bowler,Right-hand bat,Left-arm medium-fast,6,1,1,1,1*,-,2,50.00,0,0,0,0,6,6,103,173,5,3/24,3/24,34.60,10.07,20.6
England,James Tredwell,36,Allrounder,Left-hand bat,Right-arm offbreak,17,6,3,32,22,10.66,20,160.00,0,0,4,1,17,15,317,416,7,1/16,1/16,59.42,7.87,45.2
England,James Vince,27,Batsman,Right-hand bat,Right-arm medium,7,7,0,194,46,27.71,165,117.57,0,0,20,5,7,-,-,-,-,-,-,-,-,-
England,David Willey,28,Allrounder,Left-hand bat,Left-arm fast-medium,24,17,5,152,29*,12.66,114,133.33,0,0,8,9,24,24,491,691,28,3/20,3/20,24.67,8.44,17.5
England,Chris Woakes,29,Bowler,Right-hand bat,Right-arm fast-medium,8,7,4,91,37,30.33,63,144.44,0,0,4,5,8,8,162,253,7,2/40,2/40,36.14,9.37,23.1
England,Mark Wood,28,Bowler,Right-hand bat,Right-arm fast,4,2,2,10,5*,-,12,83.33,0,0,1,0,4,4,87,139,8,3/26,3/26,17.37,9.58,10.8
Ireland,John Anderson,36,Batsman,Right-hand bat,Right-arm offbreak,4,2,0,12,9,6.00,18,66.66,0,0,1,0,4,1,6,13,0,-,-,-,13.00,-
Ireland,Andy Balbirnie,27,Opening batsman,Right-hand bat,Right-arm offbreak,16,13,0,189,74,14.53,175,108.00,0,1,23,1,16,-,-,-,-,-,-,-,-,-
Ireland,Peter Chase,25,Bowler,Right-hand bat,Right-arm medium-fast,6,4,3,7,4,7.00,13,53.84,0,0,1,0,6,6,132,194,9,4/35,4/35,21.55,8.81,14.6
Ireland,Alex Cusack,38,Bowler,Right-hand bat,Right-arm medium-fast,37,21,6,229,65,15.26,177,129.37,0,1,17,6,37,33,606,714,35,4/11,4/11,20.40,7.06,17.3
Ireland,George Dockrell,26,Bowler,Right-hand bat,Slow left-arm orthodox,54,21,8,125,22*,9.61,121,103.30,0,0,5,3,54,50,1030,1132,59,4/20,4/20,19.18,6.59,17.4
Ireland,Tyrone Kane,24,Bowler,Right-hand bat,Right-arm medium-fast,6,3,1,36,26*,18.00,23,156.52,0,0,5,0,6,4,80,125,9,3/19,3/19,13.88,9.37,8.8
Ireland,Joshua Little,19,Allrounder,Right-hand bat,Left-arm fast,4,3,1,1,1*,0.50,7,14.28,0,0,0,0,4,4,94,124,3,2/20,2/20,41.33,7.91,31.3
Ireland,Andy McBrine,25,Bowler,Left-hand bat,Right-arm offbreak,19,11,5,73,14*,12.16,70,104.28,0,0,6,1,19,13,174,216,13,2/7,2/7,16.61,7.44,13.3
